time_s,dc_voltage,estimated_ac,current,temperature,power,fault_label
272.0,15.02,11.589,0.25,38.3,3.755,NORMAL
274.0,15.69,12.067,0.25,38.0,3.922,NORMAL
276.0,15.87,12.163,0.25,38.2,3.967,NORMAL
278.0,15.49,11.895,0.25,38.2,3.873,NORMAL
280.0,15.67,12.033,0.26,38.4,4.074,NORMAL
282.0,15.88,12.097,0.25,37.1,3.97,NORMAL
284.0,15.16,11.908,0.25,38.0,3.79,NORMAL
286.0,15.68,11.812,0.25,38.4,3.92,NORMAL
288.0,15.66,12.203,0.25,37.3,3.915,NORMAL
290.0,15.68,12.353,0.25,38.3,3.92,NORMAL
292.0,15.64,11.949,0.25,37.8,3.91,NORMAL
294.0,15.79,12.099,0.24,38.0,3.79,NORMAL
296.0,15.71,12.039,0.25,38.5,3.928,NORMAL
298.0,15.54,12.025,0.24,37.8,3.73,NORMAL
300.0,15.78,12.315,0.24,38.4,3.787,NORMAL
302.0,15.7,11.943,0.26,37.6,4.082,NORMAL
304.0,15.18,11.719,0.26,38.3,3.947,NORMAL
306.0,15.67,12.088,0.24,39.1,3.761,NORMAL
308.0,15.63,12.071,0.25,38.2,3.908,NORMAL
310.0,15.42,12.055,0.25,38.9,3.855,NORMAL
312.0,15.97,12.269,0.25,37.5,3.993,NORMAL
314.0,15.61,12.214,0.26,37.2,4.059,NORMAL
316.0,15.56,11.796,0.25,37.5,3.89,NORMAL
318.0,15.79,12.0,0.25,37.4,3.947,NORMAL
320.0,15.52,11.786,0.26,37.9,4.035,NORMAL
322.0,15.54,11.974,0.25,36.8,3.885,NORMAL
324.0,15.55,12.122,0.25,38.8,3.888,NORMAL
326.0,15.54,11.987,0.24,39.2,3.73,NORMAL
328.0,15.6,12.005,0.25,38.1,3.9,NORMAL
330.0,15.47,11.866,0.25,38.0,3.868,NORMAL
332.0,15.43,12.081,0.25,37.9,3.857,NORMAL
334.0,14.98,11.344,0.26,38.6,3.895,NORMAL
336.0,15.52,11.873,0.25,37.4,3.88,NORMAL
338.0,15.34,11.989,0.26,38.4,3.988,NORMAL
340.0,15.77,12.202,0.24,37.8,3.785,NORMAL
342.0,15.31,11.773,0.25,37.9,3.828,NORMAL
344.0,15.77,12.284,0.25,37.8,3.942,NORMAL
346.0,15.35,11.809,0.25,38.3,3.837,NORMAL
348.0,15.68,12.057,0.24,38.4,3.763,NORMAL
350.0,15.48,11.77,0.26,37.7,4.025,NORMAL
352.0,15.24,11.975,0.25,37.4,3.81,NORMAL
354.0,15.11,11.665,0.26,38.1,3.929,NORMAL
356.0,15.47,12.062,0.25,38.0,3.868,NORMAL
358.0,15.63,12.037,0.25,37.8,3.908,NORMAL
360.0,15.67,12.162,0.24,37.4,3.761,NORMAL
362.0,15.64,12.093,0.25,38.0,3.91,NORMAL
364.0,15.47,11.814,0.25,38.1,3.868,NORMAL
366.0,15.7,12.151,0.24,38.5,3.768,NORMAL
368.0,15.66,12.187,0.26,38.8,4.072,NORMAL
370.0,15.17,11.722,0.24,37.7,3.641,NORMAL
372.0,15.72,12.016,0.25,38.1,3.93,NORMAL
374.0,15.46,11.762,0.24,37.6,3.71,NORMAL
376.0,15.37,12.172,0.26,37.6,3.996,NORMAL
378.0,15.72,12.192,0.25,37.6,3.93,NORMAL
380.0,15.47,11.919,0.25,39.2,3.868,NORMAL
382.0,15.87,12.43,0.25,38.0,3.967,NORMAL
384.0,15.45,11.85,0.26,38.3,4.017,NORMAL
386.0,15.75,11.938,0.26,38.3,4.095,NORMAL
388.0,15.43,11.976,0.25,38.0,3.857,NORMAL
390.0,15.64,12.125,0.24,38.2,3.754,NORMAL
392.0,15.73,12.17,0.26,38.4,4.09,NORMAL
394.0,15.58,12.033,0.24,38.2,3.739,NORMAL
396.0,15.66,12.192,0.24,37.5,3.758,NORMAL
398.0,15.59,12.019,0.25,38.0,3.897,NORMAL
400.0,15.82,12.122,0.25,38.0,3.955,NORMAL
402.0,15.5,11.895,0.25,38.1,3.875,NORMAL
404.0,15.89,12.174,0.24,37.9,3.814,NORMAL
406.0,15.94,12.081,0.29,38.5,4.623,NORMAL
408.0,15.66,12.194,0.33,38.0,5.168,NORMAL
410.0,15.48,11.894,0.37,39.0,5.728,NORMAL
412.0,15.5,11.889,0.4,38.7,6.2,NORMAL
414.0,15.5,11.842,0.41,37.4,6.355,NORMAL
416.0,15.37,11.888,0.43,38.0,6.609,NORMAL
418.0,15.96,12.251,0.45,38.4,7.182,NORMAL
420.0,15.59,12.062,0.49,37.5,7.639,OVERLOAD
422.0,15.64,12.347,0.5,38.1,7.82,NORMAL
424.0,15.45,11.85,0.5,37.7,7.725,NORMAL
426.0,15.45,11.849,0.54,38.6,8.343,OVERVOLTAGE
428.0,15.41,11.964,0.54,37.7,8.321,NORMAL
430.0,15.65,12.275,0.53,38.7,8.295,NORMAL
432.0,15.46,11.964,0.55,38.1,8.503,BORDERLINE_OVERLOAD
434.0,15.75,12.032,0.6,37.9,9.45,NORMAL
436.0,15.28,12.008,0.57,38.0,8.71,NORMAL
438.0,15.48,12.08,0.59,38.0,9.133,OVERVOLTAGE
440.0,16.19,12.57,0.58,37.8,9.39,BORDERLINE_OVERLOAD
442.0,15.76,12.092,0.62,38.3,9.771,NORMAL
444.0,15.74,12.183,0.62,38.4,9.759,OVERLOAD
446.0,15.85,12.279,0.62,38.6,9.827,NORMAL
448.0,15.56,11.896,0.61,38.6,9.492,OVERLOAD
450.0,15.69,12.241,0.61,38.0,9.571,BORDERLINE_OVERLOAD
452.0,15.64,12.141,0.62,37.4,9.697,NORMAL
454.0,15.75,12.155,0.65,37.9,10.238,NORMAL
456.0,15.66,12.099,0.61,38.0,9.553,NORMAL
458.0,15.74,12.145,0.55,37.8,8.657,NORMAL
460.0,15.85,12.114,0.51,38.1,8.084,NORMAL
462.0,15.88,12.267,0.47,37.7,7.464,NORMAL
464.0,15.97,12.515,0.47,37.7,7.506,NORMAL
466.0,15.26,11.723,0.42,38.2,6.409,NORMAL
468.0,15.36,11.786,0.44,38.1,6.758,NORMAL
470.0,15.3,11.799,0.42,38.3,6.426,NORMAL
472.0,16.03,12.241,0.38,37.3,6.091,NORMAL
474.0,15.59,12.058,0.38,37.9,5.924,NORMAL
476.0,15.31,11.95,0.38,38.0,5.818,NORMAL
478.0,15.68,12.133,0.36,38.3,5.645,NORMAL
480.0,15.75,12.215,0.36,38.1,5.67,NORMAL
482.0,15.58,12.225,0.35,37.7,5.453,NORMAL
484.0,15.59,11.934,0.31,38.1,4.833,NORMAL
486.0,15.8,11.934,0.31,37.8,4.898,NORMAL
488.0,15.49,12.036,0.29,37.3,4.492,NORMAL
490.0,15.78,12.144,0.31,37.6,4.892,NORMAL
492.0,15.6,12.128,0.29,38.7,4.524,NORMAL
494.0,15.55,11.743,0.3,38.1,4.665,NORMAL
496.0,15.54,11.947,0.29,37.5,4.507,NORMAL
498.0,16.02,12.39,0.29,37.7,4.646,NORMAL
500.0,15.93,12.177,0.29,38.0,4.62,NORMAL
502.0,15.76,12.213,0.28,38.4,4.413,NORMAL
504.0,15.85,12.224,0.27,38.6,4.28,NORMAL
506.0,16.09,12.394,0.27,38.8,4.344,NORMAL
508.0,15.45,11.967,0.27,37.9,4.171,NORMAL
510.0,15.72,12.367,0.27,38.0,4.244,NORMAL
512.0,16.0,12.32,0.27,38.0,4.32,NORMAL
514.0,15.74,11.919,0.26,37.9,4.092,NORMAL
516.0,15.69,12.277,0.27,37.8,4.236,NORMAL
518.0,15.31,11.941,0.25,38.1,3.828,NORMAL
520.0,15.99,12.294,0.26,38.5,4.157,NORMAL
522.0,15.56,11.805,0.27,38.3,4.201,NORMAL
524.0,15.95,12.319,0.27,37.7,4.306,NORMAL
526.0,15.72,12.026,0.26,37.7,4.087,NORMAL
528.0,15.59,11.971,0.27,38.2,4.209,NORMAL
530.0,15.78,11.939,0.24,38.5,3.787,NORMAL
532.0,15.52,12.105,0.25,37.4,3.88,NORMAL
534.0,15.49,12.002,0.26,38.0,4.027,NORMAL
536.0,15.62,11.977,0.25,38.5,3.905,NORMAL
538.0,15.24,11.868,0.25,38.7,3.81,NORMAL
540.0,15.52,12.215,0.25,37.9,3.88,NORMAL
542.0,15.69,12.115,0.26,38.5,4.079,NORMAL
544.0,15.54,11.976,0.25,38.0,3.885,NORMAL
546.0,15.77,12.133,0.25,38.3,3.942,NORMAL
548.0,15.62,12.078,0.24,38.4,3.749,NORMAL
550.0,15.83,12.168,0.23,39.0,3.641,NORMAL
552.0,15.86,12.078,0.25,38.3,3.965,NORMAL
554.0,15.45,11.942,0.26,37.9,4.017,NORMAL
556.0,15.8,12.208,0.25,38.1,3.95,OVERVOLTAGE
558.0,16.16,12.549,0.25,38.1,4.04,NORMAL
560.0,15.86,12.067,0.26,38.3,4.124,NORMAL
562.0,15.98,12.199,0.24,38.1,3.835,NORMAL
564.0,15.58,12.059,0.25,38.1,3.895,NORMAL
566.0,15.98,12.41,0.25,37.9,3.995,NORMAL
568.0,15.88,12.306,0.24,38.3,3.811,NORMAL
570.0,15.53,11.988,0.26,37.9,4.038,NORMAL
572.0,15.56,11.822,0.25,37.5,3.89,NORMAL
574.0,15.97,12.02,0.25,37.5,3.993,NORMAL
576.0,15.45,12.037,0.24,38.7,3.708,NORMAL
578.0,15.44,11.871,0.26,38.4,4.014,NORMAL
580.0,15.02,11.421,0.26,37.4,3.905,NORMAL
582.0,15.84,12.261,0.27,38.6,4.277,NORMAL
584.0,15.74,12.156,0.26,38.3,4.092,NORMAL
586.0,15.62,12.003,0.25,37.7,3.905,NORMAL
588.0,15.2,11.61,0.25,37.5,3.8,NORMAL
590.0,15.64,11.862,0.26,38.4,4.066,NORMAL
592.0,15.37,11.833,0.26,37.6,3.996,NORMAL
594.0,15.73,11.953,0.17,38.0,2.668,NORMAL
596.0,15.46,11.976,0.25,37.3,3.865,NORMAL
598.0,15.6,12.187,0.25,38.1,3.9,NORMAL
600.0,15.63,12.109,0.25,38.1,3.908,NORMAL
602.0,15.61,11.95,0.25,37.7,3.902,NORMAL
604.0,15.27,11.708,0.26,37.4,3.97,NORMAL
606.0,15.43,12.051,0.26,37.9,4.012,NORMAL
608.0,15.44,12.165,0.25,37.6,3.86,NORMAL
610.0,15.32,11.874,0.25,38.3,3.83,NORMAL
612.0,15.56,11.977,0.25,38.0,3.89,NORMAL
614.0,15.83,12.018,0.26,37.7,4.116,NORMAL
616.0,15.58,12.205,0.27,37.6,4.207,NORMAL
618.0,15.99,12.499,0.25,38.3,3.998,NORMAL
620.0,15.51,11.838,0.25,37.7,3.877,NORMAL
622.0,15.45,11.825,0.24,38.0,3.708,NORMAL
624.0,15.65,12.158,0.24,38.2,3.756,NORMAL
626.0,15.13,11.549,0.25,38.6,3.783,NORMAL
628.0,15.99,12.292,0.25,37.7,3.998,NORMAL
630.0,15.73,12.003,0.25,38.2,3.933,NORMAL
632.0,15.64,11.942,0.24,37.9,3.754,NORMAL
634.0,15.43,11.975,0.26,38.5,4.012,NORMAL
636.0,15.34,11.856,0.25,38.6,3.835,NORMAL
638.0,16.14,12.366,0.25,38.1,4.035,NORMAL
640.0,15.63,12.159,0.25,38.3,3.908,NORMAL
642.0,15.42,11.956,0.24,37.2,3.701,NORMAL
644.0,15.34,12.134,0.24,38.2,3.682,NORMAL
646.0,15.6,12.011,0.26,38.0,4.056,NORMAL
648.0,15.82,12.217,0.25,38.1,3.955,NORMAL
650.0,15.44,11.819,0.26,37.9,4.014,NORMAL
652.0,15.73,12.113,0.24,38.0,3.775,NORMAL
654.0,15.85,12.299,0.25,38.0,3.962,NORMAL
656.0,15.93,12.095,0.25,38.0,3.982,NORMAL
658.0,15.35,11.824,0.25,37.7,3.837,NORMAL
660.0,15.61,12.088,0.25,38.0,3.902,NORMAL
662.0,15.62,12.019,0.24,37.6,3.749,BORDERLINE_OVERVOLTAGE
664.0,15.32,11.969,0.25,38.7,3.83,NORMAL
666.0,15.55,11.947,0.26,38.1,4.043,NORMAL
668.0,15.46,11.944,0.25,37.8,3.865,NORMAL
670.0,15.64,12.194,0.25,38.2,3.91,NORMAL
672.0,15.82,12.292,0.24,36.8,3.797,NORMAL
674.0,15.28,11.584,0.25,37.5,3.82,NORMAL
676.0,15.73,11.801,0.25,37.7,3.933,NORMAL
678.0,15.47,11.953,0.25,37.3,3.868,NORMAL
680.0,15.6,11.906,0.25,38.1,3.9,NORMAL
682.0,15.88,12.107,0.25,38.0,3.97,NORMAL
684.0,15.5,12.156,0.24,37.9,3.72,NORMAL
686.0,15.28,11.772,0.24,38.7,3.667,NORMAL
688.0,15.44,12.127,0.26,37.7,4.014,NORMAL
690.0,15.76,12.062,0.25,39.0,3.94,NORMAL
692.0,15.77,12.332,0.25,38.6,3.942,NORMAL
694.0,15.61,11.948,0.25,38.2,3.902,NORMAL
696.0,16.07,12.378,0.25,37.8,4.018,NORMAL
698.0,15.28,11.719,0.24,38.5,3.667,NORMAL
700.0,15.36,11.938,0.25,38.5,3.84,NORMAL
702.0,15.83,12.368,0.25,37.4,3.958,NORMAL
704.0,15.52,12.033,0.25,38.6,3.88,NORMAL
706.0,15.71,12.213,0.26,37.7,4.085,NORMAL
708.0,15.61,12.091,0.25,38.7,3.902,NORMAL
710.0,15.73,12.013,0.26,37.8,4.09,NORMAL
712.0,15.36,11.722,0.24,38.9,3.686,NORMAL
714.0,15.55,12.085,0.25,38.1,3.888,NORMAL
716.0,15.8,12.198,0.25,37.9,3.95,NORMAL
718.0,15.54,12.068,0.26,38.2,4.04,NORMAL
720.0,15.76,11.978,0.26,38.1,4.098,NORMAL
722.0,15.69,12.157,0.25,37.8,3.922,NORMAL
724.0,15.89,12.436,0.25,38.1,3.973,NORMAL
726.0,15.66,11.853,0.27,38.3,4.228,NORMAL
728.0,15.78,12.232,0.25,38.6,3.945,NORMAL
730.0,15.57,11.899,0.24,37.9,3.737,NORMAL
732.0,15.46,11.971,0.25,38.8,3.865,NORMAL
734.0,15.32,11.753,0.25,38.5,3.83,NORMAL
736.0,15.57,12.079,0.25,37.6,3.893,NORMAL
738.0,15.57,11.949,0.25,37.6,3.893,NORMAL
740.0,15.77,12.094,0.25,38.8,3.942,NORMAL
742.0,15.65,11.846,0.26,37.4,4.069,NORMAL
744.0,15.24,12.069,0.26,37.7,3.962,NORMAL
746.0,15.47,12.17,0.25,38.7,3.868,NORMAL
748.0,16.08,12.435,0.26,38.5,4.181,NORMAL
750.0,15.78,12.15,0.25,37.6,3.945,NORMAL
752.0,15.56,12.109,0.25,38.3,3.89,NORMAL
754.0,15.62,12.013,0.26,37.5,4.061,NORMAL
756.0,15.43,11.888,0.24,38.0,3.703,NORMAL
758.0,15.95,12.498,0.25,37.5,3.987,NORMAL
760.0,15.89,12.11,0.25,37.9,3.973,NORMAL
762.0,15.51,12.144,0.26,38.9,4.033,NORMAL
764.0,15.49,11.734,0.24,38.1,3.718,NORMAL
766.0,15.68,11.887,0.25,37.8,3.92,NORMAL
768.0,15.72,11.76,0.25,37.5,3.93,NORMAL
770.0,15.59,11.961,0.26,38.8,4.053,NORMAL
772.0,15.46,11.96,0.25,37.5,3.865,NORMAL
774.0,15.78,12.125,0.26,38.0,4.103,NORMAL
776.0,15.39,11.918,0.24,37.9,3.694,NORMAL
778.0,15.81,12.138,0.24,38.7,3.794,NORMAL
780.0,15.6,12.129,0.25,36.9,3.9,NORMAL
782.0,15.77,12.206,0.25,38.0,3.942,NORMAL
784.0,15.23,11.613,0.25,38.4,3.808,NORMAL
786.0,15.67,12.068,0.24,38.2,3.761,NORMAL
788.0,15.3,11.715,0.26,37.7,3.978,BORDERLINE_OVERVOLTAGE
790.0,15.8,12.172,0.26,37.5,4.108,NORMAL
792.0,15.92,12.204,0.25,38.1,3.98,NORMAL
794.0,15.68,11.726,0.25,37.5,3.92,NORMAL
796.0,16.03,12.202,0.26,36.9,4.168,NORMAL
798.0,16.12,12.3,0.26,38.0,4.191,OVERVOLTAGE
800.0,15.97,12.186,0.26,37.7,4.152,NORMAL
802.0,15.94,12.462,0.24,38.1,3.826,NORMAL
804.0,16.17,12.232,0.25,37.9,4.043,NORMAL
806.0,16.33,12.939,0.25,37.9,4.082,NORMAL
808.0,16.22,12.604,0.25,37.8,4.055,NORMAL
810.0,16.2,12.364,0.24,38.4,3.888,NORMAL
812.0,16.65,12.929,0.26,37.8,4.329,NORMAL
814.0,16.23,12.363,0.26,38.2,4.22,NORMAL
816.0,16.08,12.312,0.26,37.8,4.181,NORMAL
818.0,16.02,12.188,0.25,38.9,4.005,NORMAL
820.0,16.27,12.553,0.26,38.0,4.23,NORMAL
822.0,16.02,12.441,0.25,37.9,4.005,NORMAL
824.0,16.58,12.757,0.27,38.3,4.477,NORMAL
826.0,16.35,12.516,0.25,38.2,4.088,NORMAL
828.0,16.35,12.696,0.26,37.5,4.251,NORMAL
830.0,16.56,12.624,0.25,37.0,4.14,NORMAL
832.0,16.49,12.588,0.25,37.5,4.122,NORMAL
834.0,16.32,12.486,0.25,37.9,4.08,NORMAL
836.0,15.97,12.245,0.24,38.7,3.833,NORMAL
838.0,16.31,12.471,0.26,38.5,4.241,NORMAL
840.0,16.08,12.402,0.25,37.6,4.02,NORMAL
842.0,15.66,12.089,0.26,37.8,4.072,NORMAL
844.0,15.97,12.226,0.25,38.3,3.993,NORMAL
846.0,16.08,12.602,0.24,38.1,3.859,NORMAL
848.0,15.61,12.051,0.25,38.2,3.902,NORMAL
850.0,15.91,12.378,0.25,38.3,3.978,NORMAL
852.0,15.9,12.467,0.25,38.3,3.975,NORMAL
854.0,15.75,12.114,0.24,38.5,3.78,NORMAL
856.0,15.25,11.764,0.26,37.8,3.965,NORMAL
858.0,15.83,12.132,0.25,38.3,3.958,NORMAL
860.0,15.85,12.275,0.25,38.3,3.962,NORMAL
862.0,15.5,12.048,0.26,37.8,4.03,NORMAL
864.0,15.79,12.115,0.26,37.9,4.105,NORMAL
866.0,15.69,11.891,0.25,38.4,3.922,NORMAL
868.0,15.44,12.113,0.24,38.4,3.706,NORMAL
870.0,15.65,12.198,0.25,38.0,3.913,NORMAL
872.0,15.45,11.976,0.25,38.4,3.862,NORMAL
874.0,15.71,12.182,0.26,36.8,4.085,NORMAL
876.0,15.5,12.116,0.24,38.2,3.72,NORMAL
878.0,15.62,12.195,0.26,38.7,4.061,NORMAL
880.0,16.03,12.129,0.25,38.0,4.008,NORMAL
882.0,15.58,11.987,0.24,39.0,3.739,NORMAL
884.0,15.67,12.277,0.25,38.0,3.917,NORMAL
886.0,15.49,11.787,0.25,37.7,3.873,NORMAL
888.0,15.49,11.862,0.25,37.8,3.873,NORMAL
890.0,15.3,11.9,0.25,37.3,3.825,NORMAL
892.0,15.64,11.96,0.24,37.9,3.754,NORMAL
894.0,15.7,12.107,0.26,37.1,4.082,NORMAL
896.0,15.58,11.918,0.25,38.1,3.895,NORMAL
898.0,15.54,11.983,0.25,38.5,3.885,NORMAL
900.0,16.06,12.161,0.25,37.7,4.015,NORMAL
902.0,15.19,11.792,0.24,38.1,3.646,NORMAL
904.0,15.24,11.785,0.26,37.8,3.962,NORMAL
906.0,15.99,12.189,0.26,37.9,4.157,NORMAL
908.0,15.11,11.561,0.25,37.9,3.777,NORMAL
910.0,15.58,11.93,0.25,37.9,3.895,NORMAL
912.0,15.65,12.228,0.25,37.5,3.913,NORMAL
914.0,15.58,12.036,0.25,38.3,3.895,NORMAL
916.0,15.83,12.229,0.25,37.7,3.958,NORMAL
918.0,15.34,11.814,0.25,38.0,3.835,NORMAL
920.0,15.58,12.02,0.24,37.7,3.739,NORMAL
